study	neghbors	fail
13	20	111
13	21	111
13	22	107
13	23	107
13	24	108
13	25	107
13	26	106
13	27	101
13	28	106
13	29	109
13	30	102
13	31	89
13	32	70
13	33	67
13	34	59
13	35	31
13	36	22
13	37	11
13	38	7
13	39	3
13	40	5
13	41	8
13	42	8
13	43	5
13	44	4
14	20	108
14	21	108
14	22	108
14	23	108
14	24	107
14	25	95
14	26	102
14	27	96
14	28	96
14	29	98
14	30	99
14	31	98
14	32	105
14	33	99
14	34	74
14	35	61
14	36	64
14	37	49
14	38	33
14	39	21
14	40	10
14	41	8
14	42	4
14	43	4
14	44	13
15	20	105
15	21	105
15	22	105
15	23	105
15	24	105
15	25	103
15	26	104
15	27	104
15	28	97
15	29	97
15	30	95
15	31	101
15	32	96
15	33	102
15	34	99
15	35	99
15	36	83
15	37	67
15	38	66
15	39	49
15	40	33
15	41	26
15	42	20
15	43	12
15	44	7
