study	neghbors	fail
2	2	144
3	2	140
4	2	138
2	3	129
3	3	141
4	3	138
2	4	109
3	4	141
4	4	138
2	5	62
3	5	133
4	5	138
2	6	18
3	6	135
4	6	138
2	7	21
3	7	81
4	7	119
2	8	22
3	8	52
4	8	119
2	9	15
3	9	14
4	9	118
2	10	17
3	10	15
4	10	73
2	11	7
3	11	4
4	11	18
2	12	15
3	12	13
4	12	18
2	13	15
3	13	7
4	13	9
2	14	9
3	14	11
4	14	11
2	15	11
3	15	20
4	15	5
2	16	8
3	16	14
4	16	10
2	17	20
3	17	7
4	17	6
2	18	11
3	18	14
4	18	11
2	19	20
3	19	12
4	19	13
2	20	11
3	20	13
4	20	12
2	21	9
3	21	7
4	21	11
2	22	15
3	22	9
4	22	8
2	23	5
3	23	9
4	23	7
2	24	13
3	24	12
4	24	8
2	25	13
3	25	11
4	25	7
2	26	16
3	26	16
4	26	6
2	27	18
3	27	10
4	27	7
2	28	18
3	28	8
4	28	11
2	29	8
3	29	7
4	29	11
