study	neghbors	fail
2	2	144
2	3	133
2	4	134
2	5	37
2	6	10
2	7	18
2	8	9
2	9	15
2	10	14
2	11	12
2	12	20
2	13	15
2	14	10
2	15	24
2	16	8
2	17	6
2	18	12
2	19	11
2	20	12
2	21	24
2	22	12
2	23	9
2	24	22
2	25	6
2	26	7
2	27	12
2	28	14
2	29	7
3	2	139
3	3	141
3	4	141
3	5	129
3	6	124
3	7	125
3	8	32
3	9	16
3	10	7
3	11	11
3	12	12
3	13	9
3	14	8
3	15	7
3	16	9
3	17	9
3	18	6
3	19	11
3	20	14
3	21	14
3	22	8
3	23	13
3	24	5
3	25	15
3	26	12
3	27	11
3	28	8
3	29	7
4	2	138
4	3	138
4	4	138
4	5	138
4	6	127
4	7	130
4	8	121
4	9	107
4	10	67
4	11	17
4	12	16
4	13	6
4	14	9
4	15	9
4	16	8
4	17	10
4	18	9
4	19	7
4	20	16
4	21	5
4	22	15
4	23	12
4	24	10
4	25	8
4	26	7
4	27	5
4	28	4
4	29	5
